path,relative_path,status,action,container,video_codec,audio_codec,duration,size_mb,reason,repaired_path,backup_path,error
C:\X1_Share\Recordings\TV\RuPaul's Drag Race [8514]\Season 07\RuPaul's Drag Race - S07E06 - Episode 06.mp4,TV/RuPaul's Drag Race [8514]/Season 07/RuPaul's Drag Race - S07E06 - Episode 06.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,4137.09932,1471.1,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\RuPaul's Drag Race [8514]\Season 17\RuPaul's Drag Race - S17E11 - Episode 11.mp4,TV/RuPaul's Drag Race [8514]/Season 17/RuPaul's Drag Race - S17E11 - Episode 11.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1259.47356,499.4,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\RuPaul's Drag Race [8514]\Season 18\RuPaul's Drag Race - S18E09 - Fannie - The Hard Knock Ball Rusical.mp4,TV/RuPaul's Drag Race [8514]/Season 18/RuPaul's Drag Race - S18E09 - Fannie - The Hard Knock Ball Rusical.mp4,repaired,repaired,png_pipe,png,,0.0,911.6,missing/zero duration; video codec png may not be TV-safe,C:\X1_Share\Recordings\TV\RuPaul's Drag Race [8514]\Season 18\RuPaul's Drag Race - S18E09 - Fannie - The Hard Knock Ball Rusical.mp4,C:\X1_Share\Recordings\_MediaRenamer_Originals\20260511_231006\TV\RuPaul's Drag Race [8514]\Season 18\RuPaul's Drag Race - S18E09 - Fannie - The Hard Knock Ball Rusical.mp4,
C:\X1_Share\Recordings\TV\RuPaul's Drag Race [8514]\Season 18\RuPaul's Drag Race - S18E10 - Drag in a Bag.mp4,TV/RuPaul's Drag Race [8514]/Season 18/RuPaul's Drag Race - S18E10 - Drag in a Bag.mp4,repaired,repaired,png_pipe,png,,0.0,1304.0,missing/zero duration; video codec png may not be TV-safe,C:\X1_Share\Recordings\TV\RuPaul's Drag Race [8514]\Season 18\RuPaul's Drag Race - S18E10 - Drag in a Bag.mp4,C:\X1_Share\Recordings\_MediaRenamer_Originals\20260511_231006\TV\RuPaul's Drag Race [8514]\Season 18\RuPaul's Drag Race - S18E10 - Drag in a Bag.mp4,
C:\X1_Share\Recordings\TV\RuPaul's Drag Race [8514]\Season 18\RuPaul's Drag Race - S18E11 - A Toast to Alyssa Edwards.mp4,TV/RuPaul's Drag Race [8514]/Season 18/RuPaul's Drag Race - S18E11 - A Toast to Alyssa Edwards.mp4,ok,none,mpegts,h264,aac,3695.7337,1442.3,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\RuPaul's Drag Race All Stars [67482]\Season 11\RuPaul's Drag Race All Stars - S11E01 - Break Dancin' 2 - Electric Rugaloo.mp4,TV/RuPaul's Drag Race All Stars [67482]/Season 11/RuPaul's Drag Race All Stars - S11E01 - Break Dancin' 2 - Electric Rugaloo.mp4,ok,none,mpegts,h264,aac,4053.616233,961.0,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\RuPaul's Drag Race All Stars [67482]\Season 11\RuPaul's Drag Race All Stars - S11E02 - Bar Queen Couture.mp4,TV/RuPaul's Drag Race All Stars [67482]/Season 11/RuPaul's Drag Race All Stars - S11E02 - Bar Queen Couture.mp4,ok,none,mpegts,h264,aac,3696.526166,790.3,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\RuPaul's Drag Race UK vs The World [155431]\Season 03\RuPaul's Drag Race UK vs The World - S03E06 - RuPaul's Fringe Festival.mp4,TV/RuPaul's Drag Race UK vs The World [155431]/Season 03/RuPaul's Drag Race UK vs The World - S03E06 - RuPaul's Fringe Festival.mp4,repaired,repaired,png_pipe,png,,0.0,828.5,missing/zero duration; video codec png may not be TV-safe,C:\X1_Share\Recordings\TV\RuPaul's Drag Race UK vs The World [155431]\Season 03\RuPaul's Drag Race UK vs The World - S03E06 - RuPaul's Fringe Festival.mp4,C:\X1_Share\Recordings\_MediaRenamer_Originals\20260511_231006\TV\RuPaul's Drag Race UK vs The World [155431]\Season 03\RuPaul's Drag Race UK vs The World - S03E06 - RuPaul's Fringe Festival.mp4,
C:\X1_Share\Recordings\TV\RuPaul's Drag Race UK vs The World [155431]\Season 03\RuPaul's Drag Race UK vs The World - S03E08 - Reunion & Lip Sync Smack Down For The Crown.mp4,TV/RuPaul's Drag Race UK vs The World [155431]/Season 03/RuPaul's Drag Race UK vs The World - S03E08 - Reunion & Lip Sync Smack Down For The Crown.mp4,ok,none,mpegts,h264,aac,4070.6082,1589.5,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Sheriff Country [253391]\Season 01\Sheriff Country - S01E03 - The Sixth Man.mp4,TV/Sheriff Country [253391]/Season 01/Sheriff Country - S01E03 - The Sixth Man.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2595.480091,650.1,ffprobe passed and file is TV-safe enough,,,
